,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DEPARTURE_DELAY,DISTANCE,ARRIVAL_DELAY,CANCELLED
0,2015,1,1,4,US,SFO,PHX,-3.0,651,3.0,0
1,2015,1,1,4,B6,FLL,JFK,10.0,1069,17.0,0
2,2015,1,1,4,WN,ONT,DEN,4.0,819,0.0,0
3,2015,1,1,4,DL,MIA,ATL,-4.0,594,-19.0,0
4,2015,1,1,4,OO,TWF,SLC,-1.0,175,1.0,0
5,2015,1,1,4,OO,SNA,SFO,12.0,372,-1.0,0
6,2015,1,1,4,B6,JFK,FLL,-1.0,1069,-27.0,0
7,2015,1,1,4,AA,BWI,MIA,9.0,946,-2.0,0
8,2015,1,1,4,AA,LAX,DFW,-3.0,1235,-14.0,0
9,2015,1,1,4,DL,ATL,LGA,-5.0,762,34.0,0
10,2015,1,1,4,UA,SFO,HNL,27.0,2398,17.0,0
11,2015,1,1,4,US,PHX,PDX,-1.0,1009,14.0,0
12,2015,1,1,4,UA,SFO,LAX,0.0,337,9.0,0
13,2015,1,1,4,EV,ORD,PIT,52.0,413,38.0,0
14,2015,1,1,4,EV,DTW,BTV,7.0,537,-22.0,0
15,2015,1,1,4,DL,ATL,MCO,0.0,404,5.0,0
16,2015,1,1,4,DL,MSP,ATL,28.0,907,17.0,0
17,2015,1,1,4,US,LAS,PHL,-2.0,2176,-27.0,0
18,2015,1,1,4,AA,JFK,LAX,-5.0,2475,7.0,0
19,2015,1,1,4,AS,SFO,PDX,0.0,550,3.0,0
20,2015,1,1,4,MQ,JFK,DCA,27.0,213,12.0,0
21,2015,1,1,4,WN,IND,DCA,-3.0,500,-23.0,0
22,2015,1,1,4,WN,JAX,DEN,-5.0,1447,-12.0,0
23,2015,1,1,4,EV,ATL,AGS,27.0,143,20.0,0
24,2015,1,1,4,WN,MHT,MDW,-3.0,838,-18.0,0
25,2015,1,1,4,MQ,DFW,ACT,,89,,1
26,2015,1,1,4,AA,LGA,MIA,-6.0,1096,-8.0,0
27,2015,1,1,4,OO,SNA,SFO,0.0,372,-15.0,0
28,2015,1,1,4,AA,DEN,MIA,2.0,1709,7.0,0
29,2015,1,1,4,EV,ATL,GSP,-4.0,153,-14.0,0
30,2015,1,1,4,DL,LAS,SLC,0.0,368,-1.0,0
31,2015,1,1,4,DL,DFW,ATL,-1.0,731,19.0,0
32,2015,1,1,4,MQ,ORD,BMI,35.0,116,25.0,0
33,2015,1,1,4,US,ORD,PHX,2.0,1440,2.0,0
34,2015,1,1,4,UA,LAX,ORD,-4.0,1744,-17.0,0
35,2015,1,1,4,EV,DFW,BRO,,482,,1
36,2015,1,1,4,OO,SLC,COD,0.0,298,3.0,0
37,2015,1,1,4,DL,LGA,MSY,-1.0,1183,-34.0,0
